Grupo,Bem,Valor (R$),Parcela (R$),TX Adm (%),TX Ant. (%),F.R (%),Seguro (%),Prazo (meses)
010746,A863 - KWID ZEN 58%,46278.0,646.14,20.0,5.25,3.0,0.0598,93.0
010536,A844 - 47% MOBI LIKE 1.0,37125.0,775.57,,,,,
