Grupo,Bem,Valor (R$),Parcela (R$)
010745,KWID ZEN,46350,1120
010746,MOBI LIKE,49350,1290
010523,STRADA ENDURANCE,59430,1480
010536,POLO HIGHLINE,61800,1390
