nome,produto,instituicao_display_name,prazo_original,meses_restantes,tipo_grupo,vagas_totais,vagas_disponiveis,data_vencimento,data_assembleia,participa_assembleia,taxa_administracao_total,taxa_administracao_antecipada,fundo_reserva,seguro_vida,redutor,lance_embutido,lance_fixo,media_lance,lance_minimo,lance_maximo,lances_contemplados
AF317,Automóvel,Porto,72,60,Em Andamento,109,109,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,54.21,0.94,93.81,9
AF316,Automóvel,Porto,80,68,Em Andamento,86,86,15/08/2025,21/08/2025,11,16.00,0,2.00,0.038,20.00,30.00,0,57.80,0.94,94.42,9
AF315,Automóvel,Porto,80,68,Em Andamento,101,101,15/08/2025,21/08/2025,11,16.00,0,2.00,0.038,20.00,30.00,0,58.23,0.94,94.42,4
AF314,Automóvel,Porto,80,68,Em Andamento,97,97,15/08/2025,21/08/2025,11,16.00,0,2.00,0.038,20.00,30.00,0,58.44,0.94,93.86,2
AF313,Automóvel,Porto,72,60,Em Andamento,125,125,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,52.94,0.94,93.81,7
AF312,Automóvel,Porto,72,60,Em Andamento,125,125,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,53.33,0.93,93.19,6
AF311,Automóvel,Porto,72,60,Em Andamento,130,130,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,53.46,0.94,93.81,9
AF310,Automóvel,Porto,50,38,Em Andamento,247,247,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,48.01,0.91,90.75,4
AF309,Automóvel,Porto,50,38,Em Andamento,72,72,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,45.86,0.90,89.83,16
AF308,Automóvel,Porto,50,38,Em Andamento,103,103,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,49.80,0.91,90.75,10
AF307,Automóvel,Porto,80,68,Em Andamento,102,102,15/08/2025,21/08/2025,11,16.00,0,2.00,0.038,20.00,30.00,0,57.93,0.95,94.98,4
AF306,Automóvel,Porto,72,60,Em Andamento,113,113,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,54.08,0.94,93.81,7
AF305,Automóvel,Porto,72,60,Em Andamento,18,18,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,53.63,0.94,93.81,1
AF303,Automóvel,Porto,72,60,Em Andamento,203,203,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,59.60,0.94,93.82,7
AF302,Automóvel,Porto,80,68,Em Andamento,51,51,15/08/2025,21/08/2025,11,16.00,0,2.00,0.038,20.00,30.00,0,60.61,0.94,94.43,7
AF301,Automóvel,Porto,80,68,Em Andamento,118,118,15/08/2025,21/08/2025,11,16.00,0,2.00,0.038,20.00,30.00,0,60.53,0.94,94.43,3
AF300,Automóvel,Porto,72,60,Em Andamento,163,163,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,56.70,0.94,93.81,2
AF299,Automóvel,Porto,80,68,Em Andamento,92,92,15/08/2025,21/08/2025,11,16.00,0,2.00,0.038,20.00,30.00,0,56.65,0.94,94.43,5
AF298,Automóvel,Porto,72,60,Em Andamento,117,117,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,53.68,0.94,93.81,3
AF297,Automóvel,Porto,72,60,Em Andamento,89,89,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,52.12,0.94,93.80,8
AF296,Automóvel,Porto,50,38,Em Andamento,53,53,15/08/2025,21/08/2025,11,18.00,0,2.00,0.038,20.00,30.00,0,48.55,0.93,93.39,12
AF295,Automóvel,Porto,80,68,Em Andamento,99,99,15/08/2025,21/08/2025,11,16.00,0,2.00,0.038,20.00,30.00,0,56.63,0.94,94.42,4
AF294,Automóvel,Porto,80,68,Em Andamento,109,109,15/08/2025,21/08/2025,11,16.00,0,2.00,0.038,20.00,30.00,0,57.36,0.96,95.53,5
AF293,Automóvel,Porto,80,68,Em Andamento,131,131,15/08/2025,21/08/2025,11,16.00,0,2.00,0.038,20.00,30.00,0,56.63,0.94,94.42,8
