Grupo,Produto,Tipo,Prazo original,Meses restantes,TX Adm (%),TX Ant. (%),F.R (%),Seguro (%),Redutor Parcela,Lance Embutido,Lance Fixo,Lance Mínimo,Lance Máximo,Média Lance Últimos 6 Meses,Lances Contemplados Último Mês,Vagas Disponíveis
I0362,Imóvel,Em andamento,200,186,19.0,2.0,2.0,0.038,25.0,30.0,40.0,0.97,97.49,63.02,1,44
I0361,Imóvel,Em andamento,200,186,19.0,2.0,2.0,0.038,25.0,30.0,40.0,0.97,96.76,63.35,1,33
I0360,Imóvel,Em andamento,200,186,19.0,2.0,2.0,0.038,25.0,30.0,40.0,0.97,96.76,62.68,2,51
I0359,Imóvel,Em andamento,200,186,19.0,2.0,2.0,0.038,25.0,30.0,40.0,0.97,96.76,63.44,3,58
I0358,Imóvel,Em andamento,200,188,21.0,2.0,2.0,0.038,25.0,30.0,40.0,0.97,97.38,62.57,2,89
I0357,Imóvel,Em andamento,200,186,21.0,2.0,2.0,0.038,25.0,30.0,40.0,0.97,96.83,63.27,6,56
I0356,Imóvel,Em andamento,200,186,21.0,2.0,2.0,0.038,25.0,30.0,40.0,0.97,97.38,60.13,5,55
I0355,Imóvel,Em andamento,200,186,21.0,2.0,2.0,0.038,25.0,30.0,40.0,0.97,96.83,59.55,6,58
I0354,Imóvel,Em andamento,200,188,23.0,2.0,2.0,0.038,25.0,30.0,40.0,0.97,97.44,57.69,2,105
I0353,Imóvel,Em andamento,200,186,23.0,2.0,2.0,0.038,25.0,30.0,40.0,0.97,96.91,57.97,7,92
I0352,Imóvel,Em andamento,200,186,23.0,2.0,2.0,0.038,25.0,30.0,40.0,0.97,96.9,55.02,2,76
I0351,Imóvel,Em andamento,200,186,23.0,2.0,2.0,0.038,25.0,30.0,40.0,0.97,96.91,56.89,4,93
I0350,Imóvel,Em andamento,200,185,19.0,2.0,2.0,0.038,25.0,30.0,40.0,0.96,95.85,59.01,3,25
I0349,Imóvel,Em andamento,200,190,21.0,2.0,2.0,0.038,25.0,30.0,40.0,0.99,98.61,63.03,2,120
I0347,Imóvel,Em andamento,200,190,17.5,0.5,2.0,0.038,35.0,30.0,0.0,0.98,98.14,63.84,0,249
I0345,Imóvel,Em andamento,200,179,19.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.36,60.29,4,21
I0344,Imóvel,Em andamento,200,179,19.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.36,62.0,3,27
I0343,Imóvel,Em andamento,200,190,21.0,2.0,2.0,0.038,25.0,30.0,40.0,0.98,98.22,61.12,2,98
I0342,Imóvel,Em andamento,200,190,21.0,2.0,2.0,0.038,25.0,30.0,40.0,0.98,98.22,62.34,2,111
I0341,Imóvel,Em andamento,200,179,23.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.44,55.84,6,5
I0340,Imóvel,Em andamento,200,179,23.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.45,57.52,6,33
I0339,Imóvel,Em andamento,200,183,21.0,2.0,2.0,0.038,25.0,30.0,40.0,0.96,95.58,63.65,3,55
I0338,Imóvel,Em andamento,200,183,19.0,2.0,2.0,0.038,25.0,30.0,40.0,0.96,95.51,60.95,3,40
I0337,Imóvel,Em andamento,200,179,19.0,2.0,2.0,0.038,25.0,30.0,40.0,0.95,95.38,60.54,1,46
